age,gender,income_inr,city,employment_type,work_hours_per_day,commute_minutes,dinners_cooked_per_week,enjoy_cooking,cooking_skill_rating,cooking_challenges,dinner_time_hour,primary_cook,favorite_cuisines,meal_type_pref,non_veg_freq_per_week,dietary_goals,allergies,healthy_importance_rating,track_macros,orders_outside_per_week,spend_outside_per_meal_inr,willing_to_pay_mealkit_inr,payment_mode,priority_taste,priority_price,priority_nutrition,priority_ease_of_cooking,priority_time_to_prepare,priority_health,priority_time_savings,priority_convenience,priority_variety,priority_affordability,subscribe_try,delivery_pref,meals_per_week_subscription,desired_features,continue_service,refer_service,incentive_pref,healthy_brand_association,additional_needs
31,Prefer not to say,66409,Chennai,Student,10,35,2,Yes,4,"Don't enjoy it,No skills,Not cost-effective,Grocery hassle,Cleaning up",20.6,Self,"Chinese,Thai,Continental,Mexican,South Indian",Non-Vegetarian,1,"High-protein,Balanced meals,Immune boost,Low-calorie,Quick meal-prep,Diabetes-friendly",Eggs,2,Occasionally,1,263,150,UPI,1,5,4,3,2,4,3,2,5,1,Maybe,Weekly batch,3,"Fast delivery,Customizable,App-based tracking,Cancel-anytime,Loyalty points,Recipe variety",Maybe,No,Free meals,Epigamia,More vegan options
29,Prefer not to say,70693,Pune,Part-time,9,8,4,Only on weekends,2,"Not cost-effective,Cleaning up,Portioning issues,Waste of ingredients,No skills,No time",19.5,Hired help,"Fusion,Italian,North Indian,Keto/High-protein",Eggetarian,3,"Sustainable eating,Balanced meals,Quick meal-prep,High-protein,Gluten-free,Low-carb,Gut health,Weight loss","Soy,Nuts,Gluten",2,Never,0,279,200,Wallets,3,4,1,2,5,4,2,1,3,5,Maybe,Daily,1,"Nutrition labels,No cleanup,Fast delivery,Customizable,Loyalty points,Easy cooking,Cancel-anytime",Maybe,No,Not important,Epigamia,Calorie tracker
32,Prefer not to say,94354,Chennai,Part-time,6,31,4,No,4,"Don't enjoy it,Portioning issues,Too tired,No skills,No ideas,No time,Waste of ingredients",21.5,Self,"Keto/High-protein,Healthy Superfoods,Chinese,South Indian,Italian,Vegan",Mixed,6,"Immune boost,Weight loss,Low-calorie,Gut health,Low-carb,Balanced meals,Sustainable eating,Gluten-free","Nuts,Gluten",5,Never,3,1500,150,Wallets,3,2,4,1,5,4,2,3,5,1,Maybe,Daily,5,"Family plans,Loyalty points,Easy cooking,No cleanup,Fast delivery,App-based tracking",Definitely,Maybe,Free meals,Subway,None
33,Non-binary,114191,Hyderabad,Student,9,55,5,Only on weekends,2,"Portioning issues,Grocery hassle,No ideas,No time,Don't enjoy it,Too tired,Not cost-effective",21.1,Parent,"Continental,Keto/High-protein,South Indian,Vegan,Thai,Asian",Non-Vegetarian,6,"Diabetes-friendly,Gluten-free,Quick meal-prep,Weight loss","Nuts,Soy,Gluten",5,Regularly,7,397,250,Credit Card,2,1,5,4,3,4,5,3,1,2,Definitely,On-demand,2,"Easy cooking,Loyalty points,Fast delivery,Family plans",Definitely,Definitely,Not important,EatFit,Calorie tracker
27,Female,65240,Delhi NCR,Homemaker,5,19,3,No,1,"Portioning issues,Grocery hassle,Not cost-effective,No ideas,No time,Waste of ingredients,Don't enjoy it",20.1,Parent,"Chinese,North Indian,Healthy Superfoods,Mexican,Thai,Italian,Continental,Fusion",Vegan,2,"Sustainable eating,Gut health,Balanced meals,Low-calorie,Diabetes-friendly,Weight loss,Immune boost",None,5,Regularly,0,416,300,Cash,5,4,1,3,2,1,2,3,5,4,Maybe,Weekly batch,1,"No cleanup,Customizable,App-based tracking,Nutrition labels",Definitely,Maybe,Discounts,Epigamia,More vegan options
41,Non-binary,64902,Mumbai,Student,18,8,6,Only on weekends,3,"Not cost-effective,No ideas,Cleaning up,Waste of ingredients,Don't enjoy it,Grocery hassle,Portioning issues,Too tired",19.7,Partner,"Fusion,North Indian,Chinese,Keto/High-protein",Non-Vegetarian,2,"Low-carb,Diabetes-friendly,Quick meal-prep,Muscle gain,Immune boost,Low-calorie","Nuts,Gluten",5,Occasionally,4,219,250,Wallets,2,4,5,1,3,4,2,3,1,5,Maybe,Weekly batch,6,"Fast delivery,Loyalty points,No cleanup,Customizable,Easy cooking",Definitely,Maybe,Free meals,Epigamia,Calorie tracker
25,Male,36912,Chennai,Freelancer,7,22,3,Yes,3,"Too tired,Grocery hassle,No time,Not cost-effective,Cleaning up",21.0,Partner,"South Indian,Keto/High-protein,Asian,Vegan,Thai,Mexican,Chinese",Vegetarian,5,"Low-calorie,Muscle gain,Immune boost,High-protein,Weight loss,Gut health,Diabetes-friendly,Low-carb",Nuts,5,Occasionally,6,282,300,Cash,1,2,3,5,4,4,3,1,2,5,Maybe,On-demand,6,"No cleanup,Cancel-anytime,Fast delivery,Recipe variety,Customizable,Family plans,App-based tracking",Definitely,Definitely,Not important,FreshMenu,Reusable packaging
31,Male,104789,Bangalore,Consultant,7,94,1,Yes,1,"Cleaning up,No time,No skills,Waste of ingredients,No ideas",20.4,Parent,"Continental,Fusion,Vegan,Asian",Eggetarian,7,"Gut health,Immune boost,Muscle gain,High-protein,Balanced meals,Weight loss,Low-calorie,Quick meal-prep","Lactose,Soy,Nuts",2,Never,0,393,350,Wallets,5,2,1,3,4,2,3,1,5,4,Definitely,Weekly batch,1,"Customizable,Loyalty points,Easy cooking,No cleanup,Recipe variety,App-based tracking",Definitely,Definitely,Not important,None,None
41,Non-binary,42693,Other,Homemaker,9,5,3,No,4,"Waste of ingredients,No time,Not cost-effective,No ideas",19.9,Self,"Italian,Asian,Continental,Keto/High-protein",Vegetarian,1,"Sustainable eating,Low-carb,High-protein,Muscle gain,Diabetes-friendly,Gut health,Weight loss","Lactose,Gluten",3,Regularly,6,255,250,Debit Card,2,3,1,5,4,2,5,4,3,1,Definitely,3x/week,1,"Family plans,Nutrition labels,No cleanup,Customizable,Recipe variety",Maybe,No,Discounts,FreshMenu,None
28,Non-binary,128719,Bangalore,Freelancer,11,23,3,Only on weekends,4,"Portioning issues,No ideas,No skills,No time,Cleaning up,Not cost-effective,Grocery hassle,Too tired",19.4,Partner,"Fusion,Italian,Continental,North Indian",Eggetarian,7,"Low-calorie,Sustainable eating,High-protein,Balanced meals,Low-carb,Immune boost",None,5,Regularly,4,327,150,Debit Card,2,4,1,5,3,5,2,1,3,4,Definitely,On-demand,1,"Customizable,No cleanup,Recipe variety,Nutrition labels,Family plans,Easy cooking",Definitely,Definitely,Free meals,None,Reusable packaging
29,Female,60336,Bangalore,Full-time,7,15,3,Yes,3,"Portioning issues,Too tired,Waste of ingredients,No time,No skills,Cleaning up",22.0,Hired help,"Thai,Mexican,Keto/High-protein,South Indian,Continental",Non-Vegetarian,4,"Gluten-free,Immune boost,Low-calorie,High-protein,Muscle gain,Gut health,Weight loss","Eggs,Gluten,Nuts",3,Never,5,443,400,Cash,3,2,5,4,1,5,4,1,3,2,Maybe,Daily,1,"Customizable,App-based tracking,Cancel-anytime,Nutrition labels,Recipe variety,Family plans,No cleanup,Easy cooking",Maybe,No,Discounts,None,Calorie tracker
28,Female,68507,Hyderabad,Homemaker,9,21,3,No,4,"Not cost-effective,Portioning issues,No time,No skills",20.3,Partner,"North Indian,Healthy Superfoods,Keto/High-protein,Chinese,Continental,Vegan",Vegan,1,"Sustainable eating,Muscle gain,Balanced meals,Gut health,Quick meal-prep","Eggs,Nuts",2,Regularly,2,231,350,Credit Card,1,4,3,2,5,2,3,4,5,1,Definitely,Daily,5,"Family plans,Nutrition labels,No cleanup,Cancel-anytime,Easy cooking",Definitely,Maybe,Not important,FreshMenu,Calorie tracker
32,Male,39749,Chennai,Consultant,7,6,6,Yes,2,"Cleaning up,Grocery hassle,Waste of ingredients,No time,Not cost-effective,Portioning issues,No ideas",20.5,Hired help,"Thai,North Indian,Vegan,South Indian,Continental",Mixed,3,"Low-carb,Gluten-free,Low-calorie,Immune boost,Balanced meals,High-protein,Muscle gain",None,4,Occasionally,7,443,150,Wallets,2,5,1,4,3,3,1,2,4,5,Unlikely,3x/week,1,"Easy cooking,Recipe variety,Customizable,Cancel-anytime,Fast delivery",No,Definitely,Not important,FreshMenu,More vegan options
28,Prefer not to say,87491,Mumbai,Full-time,8,13,0,Yes,1,"No ideas,No time,Don't enjoy it,Portioning issues,Not cost-effective,Grocery hassle",21.2,Hired help,"Chinese,Asian,Mexican,Healthy Superfoods",Non-Vegetarian,4,"Sustainable eating,Diabetes-friendly,Low-carb,Weight loss,Low-calorie,Gluten-free","Lactose,None,Eggs",1,Occasionally,1,396,350,Wallets,2,1,4,5,3,2,3,4,5,1,Unlikely,On-demand,6,"Cancel-anytime,No cleanup,Easy cooking,App-based tracking",Definitely,No,Free meals,Epigamia,Reusable packaging
34,Male,135853,Chennai,Part-time,7,16,2,No,3,"Grocery hassle,Waste of ingredients,No skills,No ideas,Too tired,Portioning issues,Cleaning up,Don't enjoy it",20.6,Self,"Fusion,Asian,Italian,Keto/High-protein,Continental",Eggetarian,7,"High-protein,Quick meal-prep,Balanced meals,Low-calorie",Lactose,3,Never,2,271,300,Debit Card,4,5,3,2,1,2,5,4,3,1,Maybe,On-demand,5,"Customizable,Recipe variety,Easy cooking,Family plans,Fast delivery,App-based tracking,Cancel-anytime,No cleanup",Definitely,Definitely,Discounts,Epigamia,Reusable packaging
35,Female,124649,Mumbai,Consultant,10,23,5,Yes,4,"Don't enjoy it,Portioning issues,Too tired,No skills,Cleaning up",21.0,Partner,"Keto/High-protein,Asian,Continental,North Indian",Eggetarian,5,"Immune boost,High-protein,Quick meal-prep,Gut health","Eggs,Gluten",1,Regularly,2,380,150,Credit Card,5,4,1,3,2,2,3,5,4,1,Maybe,Daily,3,"No cleanup,Nutrition labels,Loyalty points,Family plans",Maybe,Definitely,Discounts,EatFit,None
41,Prefer not to say,61704,Pune,Homemaker,9,42,3,Yes,1,"Portioning issues,No ideas,Too tired,Not cost-effective,Grocery hassle,No time,No skills,Cleaning up",20.3,Alternates,"South Indian,Mexican,Fusion,Italian,Continental,Healthy Superfoods,Chinese,Keto/High-protein",Vegetarian,5,"Low-carb,Low-calorie,High-protein,Quick meal-prep,Muscle gain,Diabetes-friendly,Gut health","Lactose,Gluten",3,Regularly,1,311,150,Credit Card,3,2,5,1,4,2,3,1,4,5,Definitely,Weekly batch,1,"Nutrition labels,Fast delivery,Family plans,Customizable,Cancel-anytime,Easy cooking",Definitely,Definitely,Free meals,FreshMenu,More vegan options
39,Male,57699,Hyderabad,Full-time,9,35,4,Only on weekends,3,"No ideas,Not cost-effective,No skills,Waste of ingredients,No time",19.6,Partner,"Fusion,Keto/High-protein,Asian,Healthy Superfoods,Italian",Eggetarian,2,"Low-calorie,Gluten-free,Quick meal-prep,Balanced meals,Weight loss,Gut health","Soy,Gluten,Eggs",5,Never,2,281,350,Wallets,1,2,4,5,3,1,4,2,5,3,Definitely,Weekly batch,5,"Fast delivery,Easy cooking,Loyalty points,Cancel-anytime,App-based tracking,Customizable",Definitely,Definitely,Free meals,EatFit,Calorie tracker
32,Prefer not to say,110955,Pune,Freelancer,6,79,4,No,5,"Waste of ingredients,Cleaning up,No skills,Don't enjoy it,Too tired,Grocery hassle,Portioning issues,Not cost-effective",18.6,Self,"Fusion,North Indian,Chinese,Vegan,Keto/High-protein,South Indian,Mexican,Asian",Eggetarian,2,"Balanced meals,High-protein,Low-carb,Immune boost,Sustainable eating,Gluten-free,Weight loss,Diabetes-friendly","Soy,Eggs",4,Regularly,2,359,400,UPI,4,5,1,2,3,1,3,2,4,5,Maybe,On-demand,1,"Cancel-anytime,Nutrition labels,No cleanup,Customizable,Easy cooking,Fast delivery",Definitely,Definitely,Not important,EatFit,More vegan options
35,Non-binary,190057,Other,Part-time,8,28,7,No,3,"No ideas,No skills,Cleaning up,No time,Not cost-effective,Too tired",20.7,Parent,"Vegan,Chinese,Thai,Asian,North Indian,Mexican,Fusion",Mixed,4,"Low-carb,Gluten-free,Balanced meals,Sustainable eating,Muscle gain","None,Gluten,Soy",3,Never,6,343,150,Cash,5,2,1,3,4,3,1,4,2,5,Maybe,Weekly batch,1,"Family plans,Loyalty points,Nutrition labels,Customizable,Easy cooking,Recipe variety,Cancel-anytime",Definitely,Maybe,Discounts,EatFit,Calorie tracker
32,Female,129751,Other,Student,6,150,0,Only on weekends,5,"Not cost-effective,Cleaning up,Portioning issues,Too tired",19.6,Alternates,"Vegan,Italian,South Indian,Asian,Mexican,Chinese,Keto/High-protein",Non-Vegetarian,2,"Balanced meals,Immune boost,Low-calorie,Gut health,Quick meal-prep,Gluten-free,Sustainable eating,Weight loss",Lactose,1,Never,6,315,150,Wallets,5,1,3,2,4,3,4,1,5,2,Maybe,Daily,2,"Easy cooking,Fast delivery,Cancel-anytime,Customizable,Loyalty points,Recipe variety,Nutrition labels",No,Maybe,Not important,Subway,Reusable packaging
38,Non-binary,53059,Pune,Freelancer,9,150,0,Yes,3,"Cleaning up,Waste of ingredients,Don't enjoy it,No skills,Grocery hassle,Too tired,Portioning issues,No ideas",19.3,Partner,"Fusion,Continental,North Indian,Keto/High-protein,Asian,Italian,Chinese,South Indian",Eggetarian,5,"Diabetes-friendly,Balanced meals,Low-carb,High-protein,Immune boost,Low-calorie,Weight loss,Gut health","None,Nuts",5,Regularly,5,261,200,UPI,4,1,3,5,2,5,1,3,2,4,Maybe,3x/week,4,"No cleanup,Customizable,Loyalty points,App-based tracking,Easy cooking,Family plans",Maybe,Maybe,Free meals,Subway,More vegan options
32,Female,92653,Chennai,Homemaker,8,5,6,Yes,2,"Grocery hassle,No ideas,No skills,No time,Too tired,Don't enjoy it",21.6,Partner,"South Indian,Mexican,North Indian,Continental,Keto/High-protein,Chinese,Italian",Vegetarian,3,"Balanced meals,Gluten-free,Sustainable eating,Diabetes-friendly,Muscle gain,Quick meal-prep,Weight loss",None,5,Never,0,294,150,Debit Card,4,1,5,2,3,2,1,3,4,5,Definitely,Weekly batch,1,"Nutrition labels,Fast delivery,No cleanup,Easy cooking,App-based tracking",Maybe,No,Free meals,Subway,None
28,Male,169777,Bangalore,Consultant,6,5,3,Only on weekends,2,"No ideas,Too tired,Grocery hassle,Don't enjoy it,No time,Not cost-effective",17.8,Alternates,"Asian,Chinese,Mexican,Continental,Healthy Superfoods,Fusion",Vegan,4,"Quick meal-prep,High-protein,Immune boost,Balanced meals,Muscle gain,Gut health","Nuts,None,Lactose",4,Regularly,0,351,350,Debit Card,3,5,2,1,4,2,3,5,1,4,Definitely,3x/week,6,"Fast delivery,No cleanup,App-based tracking,Nutrition labels,Recipe variety,Loyalty points",Maybe,Maybe,Discounts,EatFit,Reusable packaging
37,Male,125307,Chennai,Homemaker,10,6,5,Only on weekends,1,"Portioning issues,Cleaning up,Waste of ingredients,Don't enjoy it,No ideas,No skills,Grocery hassle,No time",20.7,Parent,"Thai,Continental,South Indian,Healthy Superfoods",Eggetarian,2,"Gluten-free,Quick meal-prep,Balanced meals,Low-carb,Weight loss,Diabetes-friendly,Sustainable eating,Low-calorie",Soy,3,Regularly,6,292,150,Cash,1,3,4,5,2,4,1,2,3,5,Definitely,Weekly batch,4,"Loyalty points,Fast delivery,Cancel-anytime,Family plans",Definitely,Definitely,Free meals,EatFit,More vegan options
43,Male,52143,Mumbai,Full-time,6,82,6,No,2,"No skills,Too tired,Waste of ingredients,Portioning issues,Grocery hassle",19.3,Self,"North Indian,South Indian,Keto/High-protein,Thai,Fusion,Asian",Mixed,6,"Immune boost,Diabetes-friendly,Gut health,Sustainable eating,High-protein,Muscle gain","Gluten,Eggs",4,Never,1,371,350,Cash,4,5,2,3,1,2,1,5,3,4,Definitely,3x/week,6,"Easy cooking,App-based tracking,Cancel-anytime,Nutrition labels,Loyalty points",Definitely,Definitely,Free meals,FreshMenu,None
30,Female,60200,Hyderabad,Homemaker,7,5,3,No,2,"No skills,No ideas,Too tired,Don't enjoy it,Not cost-effective,Waste of ingredients,Cleaning up,Grocery hassle",19.2,Hired help,"Asian,Fusion,Thai,South Indian,Keto/High-protein,Chinese,North Indian",Vegetarian,3,"Sustainable eating,Diabetes-friendly,Low-calorie,Weight loss","None,Eggs",4,Occasionally,1,415,350,UPI,2,5,4,3,1,1,4,2,3,5,Definitely,On-demand,6,"Customizable,Family plans,App-based tracking,Cancel-anytime,Easy cooking,Loyalty points,No cleanup",Definitely,Definitely,Free meals,Epigamia,More vegan options
31,Male,125078,Mumbai,Full-time,9,29,4,Yes,5,"Portioning issues,Cleaning up,No skills,Not cost-effective,Waste of ingredients,No ideas,Too tired",21.0,Partner,"Fusion,Thai,Healthy Superfoods,Keto/High-protein,North Indian,Mexican",Non-Vegetarian,7,"Immune boost,Low-carb,Diabetes-friendly,Gluten-free,High-protein,Sustainable eating",Nuts,4,Regularly,0,336,400,Wallets,1,2,4,5,3,1,3,2,5,4,Unlikely,On-demand,1,"Nutrition labels,Family plans,Customizable,Loyalty points",Definitely,Maybe,Discounts,Epigamia,Reusable packaging
35,Non-binary,54832,Hyderabad,Homemaker,9,5,3,Yes,3,"Waste of ingredients,Don't enjoy it,Not cost-effective,No time,No ideas,Grocery hassle",20.2,Self,"Continental,Chinese,Asian,Italian,Mexican",Vegetarian,3,"Immune boost,Balanced meals,Gluten-free,Low-carb,High-protein,Sustainable eating,Muscle gain,Weight loss","None,Eggs",4,Never,2,356,250,Debit Card,4,5,2,3,1,1,3,4,5,2,Maybe,Weekly batch,3,"Nutrition labels,Cancel-anytime,No cleanup,Customizable",Maybe,Definitely,Free meals,None,Calorie tracker
31,Non-binary,142319,Delhi NCR,Freelancer,7,5,4,Yes,3,"Portioning issues,Waste of ingredients,No time,Not cost-effective",22.3,Hired help,"Vegan,Fusion,Keto/High-protein,Asian,South Indian,Italian",Mixed,2,"Balanced meals,Quick meal-prep,High-protein,Low-calorie,Low-carb",Soy,3,Regularly,6,240,300,Wallets,1,3,2,4,5,5,4,3,2,1,Maybe,3x/week,3,"Recipe variety,Loyalty points,Customizable,No cleanup,App-based tracking",Definitely,Maybe,Not important,EatFit,Calorie tracker
31,Prefer not to say,42328,Bangalore,Student,9,31,5,No,4,"Portioning issues,Cleaning up,Not cost-effective,No time,Grocery hassle,Don't enjoy it,Too tired",20.1,Partner,"Thai,Chinese,Healthy Superfoods,Vegan,Italian,South Indian,Keto/High-protein,Mexican",Vegan,4,"Balanced meals,Diabetes-friendly,Immune boost,Weight loss","Eggs,Soy",1,Regularly,4,148,400,UPI,1,3,4,2,5,1,5,3,4,2,Maybe,On-demand,2,"No cleanup,Family plans,Loyalty points,Fast delivery,Nutrition labels",Maybe,Maybe,Discounts,Epigamia,More vegan options
70,Male,30340,Delhi NCR,Full-time,6,23,3,Yes,1,"Portioning issues,Not cost-effective,No ideas,Cleaning up,No skills,Grocery hassle",21.3,Alternates,"Fusion,Healthy Superfoods,South Indian,Continental,Asian,Italian,North Indian",Non-Vegetarian,2,"Diabetes-friendly,Muscle gain,Gut health,Low-carb,Sustainable eating","Nuts,None",1,Never,7,329,250,Debit Card,1,4,2,3,5,1,3,2,5,4,Definitely,Weekly batch,1,"Cancel-anytime,Nutrition labels,Fast delivery,Easy cooking,Customizable,App-based tracking,No cleanup,Loyalty points",No,Definitely,Not important,FreshMenu,Reusable packaging
34,Prefer not to say,79230,Mumbai,Part-time,8,5,3,No,2,"Grocery hassle,Portioning issues,No skills,Don't enjoy it,Waste of ingredients,Too tired",20.0,Parent,"Fusion,Asian,Healthy Superfoods,Vegan,Thai,South Indian,Italian,Keto/High-protein",Vegan,5,"Quick meal-prep,Balanced meals,High-protein,Weight loss,Muscle gain,Gut health,Gluten-free,Immune boost",Lactose,1,Occasionally,7,207,250,Credit Card,2,1,4,5,3,1,5,3,2,4,Definitely,Daily,4,"App-based tracking,Nutrition labels,No cleanup,Cancel-anytime,Loyalty points,Customizable",Definitely,No,Not important,None,Calorie tracker
41,Prefer not to say,113632,Delhi NCR,Part-time,8,7,4,Only on weekends,1,"No time,No skills,Too tired,Cleaning up,Don't enjoy it,Portioning issues,No ideas,Waste of ingredients",20.0,Self,"Asian,Fusion,Vegan,Mexican,Chinese,Continental",Non-Vegetarian,7,"Gluten-free,Immune boost,Quick meal-prep,Muscle gain,Diabetes-friendly,Balanced meals,Weight loss,Low-carb","None,Soy",1,Occasionally,2,229,350,Debit Card,4,2,1,5,3,2,3,5,4,1,Definitely,3x/week,3,"Loyalty points,Customizable,Family plans,App-based tracking",Maybe,Definitely,Discounts,None,None
32,Non-binary,71833,Mumbai,Freelancer,8,5,5,Yes,5,"No time,Too tired,Not cost-effective,Cleaning up,Grocery hassle,Waste of ingredients",19.0,Self,"South Indian,Continental,Healthy Superfoods,Keto/High-protein,Mexican,Vegan",Mixed,0,"Weight loss,Sustainable eating,Muscle gain,Low-carb","Nuts,Soy,Eggs",3,Never,3,277,150,UPI,2,4,3,1,5,1,4,2,5,3,Maybe,3x/week,1,"Easy cooking,Fast delivery,Loyalty points,App-based tracking,No cleanup,Customizable,Nutrition labels",Definitely,Definitely,Discounts,FreshMenu,None
42,Male,103375,Mumbai,Student,8,5,1,No,3,"Waste of ingredients,Cleaning up,Too tired,No ideas",21.1,Parent,"Fusion,South Indian,Keto/High-protein,Healthy Superfoods,Thai,Mexican,Vegan",Eggetarian,5,"Sustainable eating,Low-calorie,Gluten-free,Muscle gain,Gut health","Gluten,Eggs,Nuts",3,Never,1,322,150,Debit Card,5,4,2,1,3,2,5,4,1,3,Definitely,3x/week,1,"Cancel-anytime,App-based tracking,Easy cooking,Nutrition labels,Customizable",Maybe,Definitely,Not important,EatFit,Reusable packaging
27,Male,165144,Pune,Freelancer,9,40,3,Yes,2,"No ideas,Portioning issues,No time,Waste of ingredients,Cleaning up,Not cost-effective,Don't enjoy it",20.9,Alternates,"Thai,Healthy Superfoods,Chinese,North Indian,Italian,Mexican",Vegan,6,"Immune boost,Weight loss,High-protein,Muscle gain,Balanced meals,Gluten-free,Sustainable eating","Eggs,Soy",4,Occasionally,4,350,200,Wallets,2,5,1,4,3,1,2,3,4,5,Maybe,Daily,5,"Fast delivery,Family plans,Loyalty points,Recipe variety,App-based tracking,Cancel-anytime",Definitely,Definitely,Not important,Subway,Reusable packaging
38,Prefer not to say,64581,Bangalore,Freelancer,10,12,4,No,4,"Cleaning up,No skills,Grocery hassle,Not cost-effective",20.2,Self,"Asian,Thai,Fusion,Healthy Superfoods,Mexican,South Indian,Continental",Non-Vegetarian,2,"Gut health,Weight loss,Low-carb,High-protein,Immune boost,Muscle gain,Gluten-free,Low-calorie","Eggs,Nuts",1,Occasionally,3,332,150,Debit Card,1,3,4,5,2,3,1,4,2,5,Maybe,3x/week,2,"App-based tracking,Fast delivery,Recipe variety,Nutrition labels,Loyalty points,Customizable",Maybe,Definitely,Free meals,None,Reusable packaging
45,Prefer not to say,69007,Delhi NCR,Consultant,9,5,0,Only on weekends,5,"No skills,Too tired,Waste of ingredients,Grocery hassle",19.3,Alternates,"Keto/High-protein,Italian,Chinese,Continental,North Indian,Fusion,Vegan,South Indian",Eggetarian,1,"Low-carb,Quick meal-prep,Muscle gain,Gut health","Soy,Eggs,Lactose",5,Never,7,261,400,Cash,3,5,1,2,4,3,2,4,1,5,Definitely,Daily,6,"Cancel-anytime,Recipe variety,Fast delivery,Nutrition labels,No cleanup",Definitely,Definitely,Free meals,EatFit,Calorie tracker
30,Prefer not to say,94792,Pune,Part-time,9,21,6,No,2,"Grocery hassle,Cleaning up,Waste of ingredients,No ideas,No time,Not cost-effective,Too tired,No skills",19.4,Partner,"Mexican,Fusion,Chinese,Asian,Keto/High-protein,North Indian,South Indian,Continental",Eggetarian,4,"Immune boost,Sustainable eating,High-protein,Diabetes-friendly,Weight loss,Balanced meals,Low-carb,Gut health","Gluten,Lactose,None",5,Never,6,537,300,Debit Card,5,2,3,4,1,3,5,4,1,2,Definitely,Weekly batch,4,"Cancel-anytime,Recipe variety,Family plans,Loyalty points,Customizable,Easy cooking,App-based tracking",Maybe,Maybe,Not important,Epigamia,Calorie tracker
31,Non-binary,55077,Bangalore,Consultant,10,112,4,Only on weekends,1,"Grocery hassle,Not cost-effective,Waste of ingredients,No time,Cleaning up",20.0,Alternates,"Vegan,Continental,Thai,Italian,Fusion,Asian,South Indian,Keto/High-protein",Vegetarian,3,"Muscle gain,Low-calorie,Quick meal-prep,Gluten-free,High-protein,Diabetes-friendly,Balanced meals",Lactose,3,Occasionally,7,309,200,Credit Card,3,1,4,2,5,1,2,3,5,4,Maybe,Daily,5,"Customizable,Nutrition labels,Cancel-anytime,Recipe variety,Loyalty points,No cleanup,Easy cooking,App-based tracking",No,Maybe,Not important,EatFit,Calorie tracker
35,Non-binary,53138,Hyderabad,Full-time,8,40,2,Only on weekends,3,"Waste of ingredients,No skills,Too tired,Cleaning up",18.8,Partner,"Italian,Thai,Mexican,Vegan,South Indian,Keto/High-protein,Continental,Asian",Vegetarian,6,"Immune boost,Muscle gain,Gluten-free,Low-carb","None,Lactose,Eggs",2,Regularly,6,374,200,Credit Card,2,4,1,5,3,2,5,3,1,4,Definitely,Daily,4,"App-based tracking,Customizable,No cleanup,Nutrition labels,Loyalty points,Cancel-anytime,Fast delivery,Family plans",Definitely,Maybe,Free meals,None,Calorie tracker
37,Female,37950,Chennai,Freelancer,7,9,3,No,1,"No skills,Grocery hassle,Portioning issues,Too tired,No ideas",20.7,Parent,"Asian,Mexican,Italian,South Indian",Mixed,6,"Sustainable eating,Immune boost,Quick meal-prep,Balanced meals,Low-carb",Nuts,3,Occasionally,6,383,150,Cash,3,5,2,4,1,4,5,2,1,3,Maybe,3x/week,3,"Family plans,Cancel-anytime,Recipe variety,Easy cooking",Definitely,Definitely,Discounts,Epigamia,Reusable packaging
42,Male,66584,Mumbai,Freelancer,10,46,6,Only on weekends,5,"No time,Don't enjoy it,Too tired,No ideas",20.0,Partner,"Continental,Chinese,Thai,Asian,Italian,Vegan,Fusion,South Indian",Vegan,3,"Weight loss,Immune boost,Muscle gain,High-protein","Soy,None,Lactose",2,Occasionally,0,169,200,Credit Card,1,4,3,2,5,3,1,4,5,2,Definitely,3x/week,1,"Recipe variety,Customizable,Family plans,App-based tracking,No cleanup,Loyalty points,Nutrition labels,Easy cooking",Definitely,Definitely,Free meals,None,None
28,Prefer not to say,110192,Other,Homemaker,9,5,5,No,4,"Not cost-effective,Portioning issues,Waste of ingredients,Don't enjoy it",21.5,Self,"Chinese,Healthy Superfoods,North Indian,Continental,Keto/High-protein,Mexican,Asian",Eggetarian,1,"Gluten-free,Diabetes-friendly,High-protein,Quick meal-prep,Gut health,Muscle gain","Eggs,Gluten",1,Regularly,7,410,350,Cash,1,4,2,3,5,3,2,1,4,5,Unlikely,Weekly batch,6,"Loyalty points,Cancel-anytime,App-based tracking,No cleanup,Fast delivery",Definitely,Definitely,Free meals,None,More vegan options
28,Prefer not to say,93723,Delhi NCR,Full-time,9,5,2,No,1,"Portioning issues,Not cost-effective,No ideas,Waste of ingredients",20.3,Parent,"Keto/High-protein,Vegan,Continental,Healthy Superfoods,North Indian",Mixed,1,"Low-calorie,Gut health,Immune boost,Muscle gain,Gluten-free,Quick meal-prep,Diabetes-friendly","None,Gluten,Eggs",3,Occasionally,3,325,350,Debit Card,3,4,2,1,5,2,5,3,4,1,Definitely,3x/week,2,"Easy cooking,Nutrition labels,Family plans,Fast delivery,App-based tracking,Recipe variety,Loyalty points",Definitely,Definitely,Discounts,None,None
